idtbody2,lectura,claveU
1,"{""head"": {""X"": 0.237189651, ""Y"": 0.368085176, ""Z"": 1.15252244}, ""neck"": {""X"": 0.236332133, ""Y"": 0.214556277, ""Z"": 1.15898812}, ""hipLeft"": {""X"": 0.1251232, ""Y"": -0.3795161, ""Z"": 1.135941}, ""footLeft"": {""X"": 0.2693748, ""Y"": -0.349374861, ""Z"": 1.00730145}, ""handLeft"": {""X"": 0.124275006, ""Y"": -0.219223559, ""Z"": 0.9320249}, ""hipRight"": {""X"": 0.2891962, ""Y"": -0.38001743, ""Z"": 1.133128}, ""kneeLeft"": {""X"": 0.09076378, ""Y"": -0.07420731, ""Z"": 0.929772}, ""spineMid"": {""X"": 0.226779953, ""Y"": -0.0808353, ""Z"": 1.1718688}, ""ankleLeft"": {""X"": 0.13914752, ""Y"": -0.369038552, ""Z"": 1.01957}, ""elbowLeft"": {""X"": -0.0205505081, ""Y"": -0.0986928, ""Z"": 1.117847}, ""footRight"": {""X"": 0.347279727, ""Y"": -0.358489722, ""Z"": 1.05230546}, ""handRight"": {""X"": 0.186268985, ""Y"": -0.07440088, ""Z"": 1.03299522}, ""kneeRight"": {""X"": 0.268808424, ""Y"": -0.108627751, ""Z"": 0.881600857}, ""spineBase"": {""X"": 0.213201314, ""Y"": -0.390722215, ""Z"": 1.16726172}, ""thumbLeft"": {""X"": 0.140362188, ""Y"": -0.179736868, ""Z"": 0.891750157}, ""wristLeft"": {""X"": 0.0445048, ""Y"": -0.20479098, ""Z"": 0.980125368}, ""ankleRight"": {""X"": 0.270193815, ""Y"": -0.378148466, ""Z"": 1.03034377}, ""elbowRight"": {""X"": 0.510604143, ""Y"": -0.08560276, ""Z"": 1.1246345}, ""thumbRight"": {""X"": 0.206716135, ""Y"": -0.138616458, ""Z"": 0.9927674}, ""wristRight"": {""X"": 0.267810822, ""Y"": -0.07982586, ""Z"": 1.07702255}, ""handTipLeft"": {""X"": 0.166482642, ""Y"": -0.250641942, ""Z"": 0.8616944}, ""handTipRight"": {""X"": 0.110477857, ""Y"": -0.07524511, ""Z"": 1.04520619}, ""shoulderLeft"": {""X"": 0.0573113263, ""Y"": 0.101517439, ""Z"": 1.12103891}, ""shoulderRight"": {""X"": 0.412293732, ""Y"": 0.09886635, ""Z"": 1.12290764}, ""spineShoulder"": {""X"": 0.2345057, ""Y"": 0.142838925, ""Z"": 1.16462493}}",4F936A16677548F7B408226F54323881
2,"{""head"": {""X"": 0.180789173, ""Y"": 0.352887571, ""Z"": 1.13204241}, ""neck"": {""X"": 0.17316103, ""Y"": 0.199734032, ""Z"": 1.1533041}, ""hipLeft"": {""X"": 0.0603327379, ""Y"": -0.316416174, ""Z"": 1.13274813}, ""footLeft"": {""X"": 0.0339332074, ""Y"": -0.440508842, ""Z"": 0.5487213}, ""handLeft"": {""X"": 0.0937818959, ""Y"": -0.2133955, ""Z"": 0.8795471}, ""hipRight"": {""X"": 0.224163815, ""Y"": -0.321296841, ""Z"": 1.13058567}, ""kneeLeft"": {""X"": 0.09109706, ""Y"": -0.0916414, ""Z"": 0.83545506}, ""spineMid"": {""X"": 0.161353812, ""Y"": -0.0580694973, ""Z"": 1.1649152}, ""ankleLeft"": {""X"": 0.0418144464, ""Y"": -0.421668, ""Z"": 0.690008163}, ""elbowLeft"": {""X"": -0.11471156, ""Y"": -0.113912195, ""Z"": 1.10793459}, ""footRight"": {""X"": 0.1999999, ""Y"": -0.445792019, ""Z"": 0.976023734}, ""handRight"": {""X"": 0.170409411, ""Y"": -0.1995195, ""Z"": 0.8776484}, ""kneeRight"": {""X"": 0.20148018, ""Y"": -0.08616746, ""Z"": 0.840784252}, ""spineBase"": {""X"": 0.146109968, ""Y"": -0.327390969, ""Z"": 1.16194642}, ""thumbLeft"": {""X"": 0.07541881, ""Y"": -0.216977969, ""Z"": 0.835859954}, ""wristLeft"": {""X"": 0.0629938245, ""Y"": -0.176134452, ""Z"": 0.9227924}, ""ankleRight"": {""X"": 0.181839272, ""Y"": -0.5623985, ""Z"": 0.9096157}, ""elbowRight"": {""X"": 0.431241065, ""Y"": -0.134093478, ""Z"": 1.084483}, ""thumbRight"": {""X"": 0.224582583, ""Y"": -0.169720292, ""Z"": 0.859366536}, ""wristRight"": {""X"": 0.172315061, ""Y"": -0.0994619951, ""Z"": 1.0600003}, ""handTipLeft"": {""X"": 0.146777838, ""Y"": -0.218308777, ""Z"": 0.834576547}, ""handTipRight"": {""X"": 0.1054507, ""Y"": -0.229269937, ""Z"": 0.8350548}, ""shoulderLeft"": {""X"": -0.009039755, ""Y"": 0.0984194, ""Z"": 1.12234509}, ""shoulderRight"": {""X"": 0.356197774, ""Y"": 0.08759169, ""Z"": 1.11986351}, ""spineShoulder"": {""X"": 0.170702621, ""Y"": 0.136946067, ""Z"": 1.15834928}}",4F936A16677548F7B408226F54323881
3,"{""head"": {""X"": 0.165207177, ""Y"": 0.3495398, ""Z"": 1.12858117}, ""neck"": {""X"": 0.15730308, ""Y"": 0.196552262, ""Z"": 1.15262866}, ""hipLeft"": {""X"": 0.0438282155, ""Y"": -0.311774433, ""Z"": 1.1321497}, ""footLeft"": {""X"": 0.0300835576, ""Y"": -0.460974038, ""Z"": 0.5403599}, ""handLeft"": {""X"": 0.09766354, ""Y"": -0.211889654, ""Z"": 0.8686215}, ""hipRight"": {""X"": 0.208527625, ""Y"": -0.3178592, ""Z"": 1.13058674}, ""kneeLeft"": {""X"": 0.0956020057, ""Y"": -0.0970007, ""Z"": 0.827729344}, ""spineMid"": {""X"": 0.145056561, ""Y"": -0.05754293, ""Z"": 1.16434109}, ""ankleLeft"": {""X"": 0.03926412, ""Y"": -0.4421182, ""Z"": 0.681655645}, ""elbowLeft"": {""X"": -0.124604896, ""Y"": -0.1049065, ""Z"": 1.11714816}, ""footRight"": {""X"": 0.194346458, ""Y"": -0.445615232, ""Z"": 0.975687}, ""handRight"": {""X"": 0.144627512, ""Y"": -0.1942666, ""Z"": 0.8778208}, ""kneeRight"": {""X"": 0.1923243, ""Y"": -0.0843611956, ""Z"": 0.8362393}, ""spineBase"": {""X"": 0.129598647, ""Y"": -0.323231041, ""Z"": 1.16156745}, ""thumbLeft"": {""X"": 0.0689090043, ""Y"": -0.2387793, ""Z"": 0.848527849}, ""wristLeft"": {""X"": 0.05272434, ""Y"": -0.171831667, ""Z"": 0.932391644}, ""ankleRight"": {""X"": 0.171280265, ""Y"": -0.562669, ""Z"": 0.9095859}, ""elbowRight"": {""X"": 0.417421639, ""Y"": -0.137492031, ""Z"": 1.08496046}, ""thumbRight"": {""X"": 0.189567134, ""Y"": -0.165390968, ""Z"": 0.866687536}, ""wristRight"": {""X"": 0.158078, ""Y"": -0.101752937, ""Z"": 1.05979216}, ""handTipLeft"": {""X"": 0.137555063, ""Y"": -0.209353, ""Z"": 0.840565}, ""handTipRight"": {""X"": 0.0979395, ""Y"": -0.228844121, ""Z"": 0.832616866}, ""shoulderLeft"": {""X"": -0.02538898, ""Y"": 0.09736878, ""Z"": 1.12416291}, ""shoulderRight"": {""X"": 0.3300928, ""Y"": 0.08287809, ""Z"": 1.12072337}, ""spineShoulder"": {""X"": 0.154676184, ""Y"": 0.134701386, ""Z"": 1.15769124}}",4F936A16677548F7B408226F54323881
4,"{""head"": {""X"": 0.149814352, ""Y"": 0.3467672, ""Z"": 1.12676227}, ""neck"": {""X"": 0.142845169, ""Y"": 0.194044963, ""Z"": 1.15335274}, ""hipLeft"": {""X"": 0.0308472943, ""Y"": -0.31582275, ""Z"": 1.13233042}, ""footLeft"": {""X"": 0.104583345, ""Y"": -0.461950064, ""Z"": 0.9573231}, ""handLeft"": {""X"": 0.109802239, ""Y"": -0.209779963, ""Z"": 0.8682815}, ""hipRight"": {""X"": 0.19487676, ""Y"": -0.322917551, ""Z"": 1.13108945}, ""kneeLeft"": {""X"": 0.0525789671, ""Y"": -0.0791259259, ""Z"": 0.8382688}, ""spineMid"": {""X"": 0.130595237, ""Y"": -0.0611235835, ""Z"": 1.16485381}, ""ankleLeft"": {""X"": 0.0154285217, ""Y"": -0.572724342, ""Z"": 0.9317469}, ""elbowLeft"": {""X"": -0.127613887, ""Y"": -0.07284486, ""Z"": 1.13711631}, ""footRight"": {""X"": 0.191921532, ""Y"": -0.444759637, ""Z"": 0.9790301}, ""handRight"": {""X"": 0.117772169, ""Y"": -0.196075618, ""Z"": 0.8823003}, ""kneeRight"": {""X"": 0.193154275, ""Y"": -0.08181235, ""Z"": 0.839938}, ""spineBase"": {""X"": 0.115910627, ""Y"": -0.327859432, ""Z"": 1.16179633}, ""thumbLeft"": {""X"": 0.0621969737, ""Y"": -0.226997972, ""Z"": 0.832317054}, ""wristLeft"": {""X"": 0.0338609, ""Y"": -0.1611981, ""Z"": 0.950082541}, ""ankleRight"": {""X"": 0.167355865, ""Y"": -0.562727451, ""Z"": 0.913138032}, ""elbowRight"": {""X"": 0.388080448, ""Y"": -0.145811319, ""Z"": 1.08152187}, ""thumbRight"": {""X"": 0.153593883, ""Y"": -0.19891125, ""Z"": 0.841705859}, ""wristRight"": {""X"": 0.131944969, ""Y"": -0.103210375, ""Z"": 1.05954576}, ""handTipLeft"": {""X"": 0.149367288, ""Y"": -0.207698852, ""Z"": 0.851157}, ""handTipRight"": {""X"": 0.07192308, ""Y"": -0.2282, ""Z"": 0.8371102}, ""shoulderLeft"": {""X"": -0.0405714028, ""Y"": 0.09660143, ""Z"": 1.126445}, ""shoulderRight"": {""X"": 0.3171864, ""Y"": 0.08062097, ""Z"": 1.12135088}, ""spineShoulder"": {""X"": 0.140123889, ""Y"": 0.131920949, ""Z"": 1.1583668}}",4F936A16677548F7B408226F54323881
5,"{""head"": {""X"": 0.120164379, ""Y"": 0.345766723, ""Z"": 1.13607}, ""neck"": {""X"": 0.108609036, ""Y"": 0.197553337, ""Z"": 1.154898}, ""hipLeft"": {""X"": 0.0237527788, ""Y"": -0.263126463, ""Z"": 1.15238309}, ""footLeft"": {""X"": 0.01178435, ""Y"": -0.546848655, ""Z"": 0.5046947}, ""handLeft"": {""X"": -0.0827973, ""Y"": -0.10032142, ""Z"": 0.6722234}, ""hipRight"": {""X"": 0.189796612, ""Y"": -0.2727027, ""Z"": 1.15017891}, ""kneeLeft"": {""X"": 0.0410907641, ""Y"": -0.114625931, ""Z"": 0.8198671}, ""spineMid"": {""X"": 0.110960759, ""Y"": -0.04011389, ""Z"": 1.177232}, ""ankleLeft"": {""X"": 0.0157480482, ""Y"": -0.5353104, ""Z"": 0.6418649}, ""elbowLeft"": {""X"": -0.158611819, ""Y"": -0.0386492126, ""Z"": 1.14189982}, ""footRight"": {""X"": 0.172069937, ""Y"": -0.456995755, ""Z"": 0.9736312}, ""handRight"": {""X"": 0.0158787519, ""Y"": -0.06346773, ""Z"": 1.05800641}, ""kneeRight"": {""X"": 0.109655164, ""Y"": -0.105188474, ""Z"": 0.836391866}, ""spineBase"": {""X"": 0.110105038, ""Y"": -0.276166171, ""Z"": 1.18672848}, ""thumbLeft"": {""X"": -0.08587912, ""Y"": -0.182666153, ""Z"": 0.637}, ""wristLeft"": {""X"": -0.06039377, ""Y"": -0.170705929, ""Z"": 0.9627614}, ""ankleRight"": {""X"": 0.130828544, ""Y"": -0.569758654, ""Z"": 0.922348142}, ""elbowRight"": {""X"": 0.3186787, ""Y"": -0.132959276, ""Z"": 1.1121552}, ""thumbRight"": {""X"": -0.016755037, ""Y"": -0.122216634, ""Z"": 1.03286684}, ""wristRight"": {""X"": 0.0845752656, ""Y"": -0.0813127, ""Z"": 1.101774}, ""handTipLeft"": {""X"": -0.07992946, ""Y"": -0.133557126, ""Z"": 0.6504281}, ""handTipRight"": {""X"": -0.06584991, ""Y"": -0.035819158, ""Z"": 1.07664037}, ""shoulderLeft"": {""X"": -0.0630869, ""Y"": 0.109957054, ""Z"": 1.14332938}, ""shoulderRight"": {""X"": 0.261681765, ""Y"": 0.0992215052, ""Z"": 1.13912749}, ""spineShoulder"": {""X"": 0.110200219, ""Y"": 0.139345691, ""Z"": 1.16298139}}",4F936A16677548F7B408226F54323881
6,"{""head"": {""X"": 0.105322093, ""Y"": 0.34070608, ""Z"": 1.12586677}, ""neck"": {""X"": 0.09635977, ""Y"": 0.196577311, ""Z"": 1.1485827}, ""hipLeft"": {""X"": 0.00602667965, ""Y"": -0.32742542, ""Z"": 1.15255773}, ""footLeft"": {""X"": 0.0334390923, ""Y"": -0.5489706, ""Z"": 0.7164599}, ""handLeft"": {""X"": -0.0786765143, ""Y"": -0.106428742, ""Z"": 0.6678593}, ""hipRight"": {""X"": 0.15525049, ""Y"": -0.336698771, ""Z"": 1.15174317}, ""kneeLeft"": {""X"": 0.0404397547, ""Y"": -0.116902657, ""Z"": 0.858404636}, ""spineMid"": {""X"": 0.09190958, ""Y"": -0.0582574271, ""Z"": 1.17241645}, ""ankleLeft"": {""X"": 0.03690368, ""Y"": -0.5149113, ""Z"": 0.8484197}, ""elbowLeft"": {""X"": -0.12291836, ""Y"": -0.01439377, ""Z"": 1.0328418}, ""footRight"": {""X"": 0.133626714, ""Y"": -0.5417251, ""Z"": 0.5615763}, ""handRight"": {""X"": 0.04158957, ""Y"": -0.069758, ""Z"": 1.05308652}, ""kneeRight"": {""X"": 0.12202397, ""Y"": -0.1081406, ""Z"": 0.871319}, ""spineBase"": {""X"": 0.0829324946, ""Y"": -0.341398239, ""Z"": 1.18453789}, ""thumbLeft"": {""X"": -0.07882227, ""Y"": -0.162788138, ""Z"": 0.67425}, ""wristLeft"": {""X"": -0.0618067756, ""Y"": -0.127356827, ""Z"": 0.841841936}, ""ankleRight"": {""X"": 0.138495117, ""Y"": -0.5253596, ""Z"": 0.6975925}, ""elbowRight"": {""X"": 0.3292592, ""Y"": -0.09650484, ""Z"": 1.12415266}, ""thumbRight"": {""X"": 0.03490294, ""Y"": -0.131760776, ""Z"": 1.0162}, ""wristRight"": {""X"": 0.10418614, ""Y"": -0.075744614, ""Z"": 1.10561991}, ""handTipLeft"": {""X"": -0.07509442, ""Y"": -0.122092731, ""Z"": 0.61748445}, ""handTipRight"": {""X"": -0.0429167971, ""Y"": -0.0700277, ""Z"": 1.05664861}, ""shoulderLeft"": {""X"": -0.07063927, ""Y"": 0.112808324, ""Z"": 1.1423384}, ""shoulderRight"": {""X"": 0.256306052, ""Y"": 0.09817583, ""Z"": 1.13515437}, ""spineShoulder"": {""X"": 0.09656013, ""Y"": 0.135563716, ""Z"": 1.15662193}}",4F936A16677548F7B408226F54323881
7,"{""head"": {""X"": 0.0930884555, ""Y"": 0.336833358, ""Z"": 1.11976385}, ""neck"": {""X"": 0.0860394, ""Y"": 0.194656312, ""Z"": 1.145786}, ""hipLeft"": {""X"": 0.0115835182, ""Y"": -0.30076018, ""Z"": 1.15232527}, ""footLeft"": {""X"": -0.0266300049, ""Y"": -0.5696014, ""Z"": 0.53065455}, ""handLeft"": {""X"": -0.08139986, ""Y"": -0.098001726, ""Z"": 0.6588294}, ""hipRight"": {""X"": 0.160895556, ""Y"": -0.310429633, ""Z"": 1.1501025}, ""kneeLeft"": {""X"": 0.0216963738, ""Y"": -0.129877925, ""Z"": 0.83314085}, ""spineMid"": {""X"": 0.0894395262, ""Y"": -0.05598432, ""Z"": 1.16930258}, ""ankleLeft"": {""X"": -0.0209291577, ""Y"": -0.552596, ""Z"": 0.66452}, ""elbowLeft"": {""X"": -0.125059, ""Y"": -0.0102471709, ""Z"": 1.03383338}, ""footRight"": {""X"": 0.104680829, ""Y"": -0.6286009, ""Z"": 0.8472645}, ""handRight"": {""X"": 0.189099237, ""Y"": -0.202303514, ""Z"": 0.9920175}, ""kneeRight"": {""X"": 0.111357391, ""Y"": -0.0989734456, ""Z"": 0.8602113}, ""spineBase"": {""X"": 0.0885982439, ""Y"": -0.3138848, ""Z"": 1.18238831}, ""thumbLeft"": {""X"": -0.07777178, ""Y"": -0.116974846, ""Z"": 0.6468334}, ""wristLeft"": {""X"": -0.0662393346, ""Y"": -0.123264752, ""Z"": 0.8481883}, ""ankleRight"": {""X"": 0.110299267, ""Y"": -0.5733174, ""Z"": 0.9656528}, ""elbowRight"": {""X"": 0.325357884, ""Y"": -0.09707093, ""Z"": 1.12309575}, ""thumbRight"": {""X"": 0.149199948, ""Y"": -0.269188851, ""Z"": 1.0259999}, ""wristRight"": {""X"": 0.228953451, ""Y"": -0.198629722, ""Z"": 1.00771892}, ""handTipLeft"": {""X"": -0.0823945254, ""Y"": -0.06926144, ""Z"": 0.6201045}, ""handTipRight"": {""X"": 0.118776776, ""Y"": -0.245631263, ""Z"": 0.9106158}, ""shoulderLeft"": {""X"": -0.07595207, ""Y"": 0.11385607, ""Z"": 1.14214563}, ""shoulderRight"": {""X"": 0.25000912, ""Y"": 0.09701179, ""Z"": 1.13286328}, ""spineShoulder"": {""X"": 0.08826626, ""Y"": 0.134694755, ""Z"": 1.15389287}}",4F936A16677548F7B408226F54323881
8,"{""head"": {""X"": 0.0821488351, ""Y"": 0.333847553, ""Z"": 1.11548412}, ""neck"": {""X"": 0.0746454448, ""Y"": 0.1929575, ""Z"": 1.1434505}, ""hipLeft"": {""X"": 0.0118782539, ""Y"": -0.282091439, ""Z"": 1.151251}, ""footLeft"": {""X"": -0.0270475149, ""Y"": -0.5637497, ""Z"": 0.5324844}, ""handLeft"": {""X"": -0.08071038, ""Y"": -0.0953082144, ""Z"": 0.658007443}, ""hipRight"": {""X"": 0.161157191, ""Y"": -0.2919001, ""Z"": 1.1487143}, ""kneeLeft"": {""X"": 0.0115160644, ""Y"": -0.141225636, ""Z"": 0.8212411}, ""spineMid"": {""X"": 0.08386427, ""Y"": -0.0494789332, ""Z"": 1.16747522}, ""ankleLeft"": {""X"": -0.0209692065, ""Y"": -0.5450877, ""Z"": 0.664589345}, ""elbowLeft"": {""X"": -0.130965561, ""Y"": -0.00691723963, ""Z"": 1.03303087}, ""footRight"": {""X"": 0.132129908, ""Y"": -0.511251032, ""Z"": 0.578967452}, ""handRight"": {""X"": 0.19763957, ""Y"": -0.21928747, ""Z"": 1.02207243}, ""kneeRight"": {""X"": 0.101062059, ""Y"": -0.0946851, ""Z"": 0.85492146}, ""spineBase"": {""X"": 0.08882233, ""Y"": -0.294564873, ""Z"": 1.18030643}, ""thumbLeft"": {""X"": -0.07761707, ""Y"": -0.116318591, ""Z"": 0.646781445}, ""wristLeft"": {""X"": -0.06820006, ""Y"": -0.117884442, ""Z"": 0.851047158}, ""ankleRight"": {""X"": 0.136008665, ""Y"": -0.489385515, ""Z"": 0.7122058}, ""elbowRight"": {""X"": 0.313614517, ""Y"": -0.100174, ""Z"": 1.12305212}, ""thumbRight"": {""X"": 0.170243561, ""Y"": -0.283074677, ""Z"": 1.06996155}, ""wristRight"": {""X"": 0.242214069, ""Y"": -0.216759071, ""Z"": 1.03135824}, ""handTipLeft"": {""X"": -0.0836529955, ""Y"": -0.06994158, ""Z"": 0.62956655}, ""handTipRight"": {""X"": 0.158215687, ""Y"": -0.2521086, ""Z"": 1.01476014}, ""shoulderLeft"": {""X"": -0.08845944, ""Y"": 0.114457615, ""Z"": 1.14375567}, ""shoulderRight"": {""X"": 0.232175812, ""Y"": 0.0951234847, ""Z"": 1.13095284}, ""spineShoulder"": {""X"": 0.07822846, ""Y"": 0.134745359, ""Z"": 1.15165842}}",4F936A16677548F7B408226F54323881
9,"{""head"": {""X"": 0.07280254, ""Y"": 0.333196819, ""Z"": 1.11731184}, ""neck"": {""X"": 0.066569224, ""Y"": 0.19227083, ""Z"": 1.14508986}, ""hipLeft"": {""X"": 0.026667675, ""Y"": -0.262283534, ""Z"": 1.154015}, ""footLeft"": {""X"": -0.0276006572, ""Y"": -0.5666488, ""Z"": 0.5317421}, ""handLeft"": {""X"": -0.0843673348, ""Y"": -0.09626385, ""Z"": 0.67268306}, ""hipRight"": {""X"": 0.1757283, ""Y"": -0.273027629, ""Z"": 1.1505096}, ""kneeLeft"": {""X"": 0.003584036, ""Y"": -0.1510748, ""Z"": 0.8129274}, ""spineMid"": {""X"": 0.0835108757, ""Y"": -0.04375042, ""Z"": 1.17054415}, ""ankleLeft"": {""X"": -0.0219006352, ""Y"": -0.5477461, ""Z"": 0.6640911}, ""elbowLeft"": {""X"": -0.136067152, ""Y"": -0.00449121, ""Z"": 1.03437424}, ""footRight"": {""X"": 0.1459053, ""Y"": -0.5093235, ""Z"": 0.58226496}, ""handRight"": {""X"": 0.18945843, ""Y"": -0.2161206, ""Z"": 1.02260876}, ""kneeRight"": {""X"": 0.0548196137, ""Y"": -0.112995841, ""Z"": 0.851974666}, ""spineBase"": {""X"": 0.103976235, ""Y"": -0.274952382, ""Z"": 1.18363488}, ""thumbLeft"": {""X"": -0.07393862, ""Y"": -0.179167122, ""Z"": 0.704}, ""wristLeft"": {""X"": -0.0720594749, ""Y"": -0.116045214, ""Z"": 0.8554747}, ""ankleRight"": {""X"": 0.143888876, ""Y"": -0.488269031, ""Z"": 0.7160817}, ""elbowRight"": {""X"": 0.304777235, ""Y"": -0.100642473, ""Z"": 1.12440884}, ""thumbRight"": {""X"": 0.158475935, ""Y"": -0.2821696, ""Z"": 1.06822228}, ""wristRight"": {""X"": 0.234463081, ""Y"": -0.215456471, ""Z"": 1.0320102}, ""handTipLeft"": {""X"": -0.0835726038, ""Y"": -0.06982346, ""Z"": 0.633218}, ""handTipRight"": {""X"": 0.149664044, ""Y"": -0.244339779, ""Z"": 1.00612319}, ""shoulderLeft"": {""X"": -0.09762234, ""Y"": 0.115072653, ""Z"": 1.14687443}, ""shoulderRight"": {""X"": 0.2229009, ""Y"": 0.09415206, ""Z"": 1.13224828}, ""spineShoulder"": {""X"": 0.0727338, ""Y"": 0.135527089, ""Z"": 1.153682}}",4F936A16677548F7B408226F54323881
10,"{""head"": {""X"": 0.06435918, ""Y"": 0.3328105, ""Z"": 1.11873627}, ""neck"": {""X"": 0.0565579534, ""Y"": 0.191704586, ""Z"": 1.14622223}, ""hipLeft"": {""X"": 0.016895907, ""Y"": -0.265930355, ""Z"": 1.15484977}, ""footLeft"": {""X"": -0.0269590784, ""Y"": -0.549540162, ""Z"": 0.5366558}, ""handLeft"": {""X"": -0.122695439, ""Y"": -0.05523489, ""Z"": 0.7904671}, ""hipRight"": {""X"": 0.166214228, ""Y"": -0.2763299, ""Z"": 1.15123689}, ""kneeLeft"": {""X"": 0.0108275348, ""Y"": -0.14507243, ""Z"": 0.8156072}, ""spineMid"": {""X"": 0.07519732, ""Y"": -0.0424608253, ""Z"": 1.17238843}, ""ankleLeft"": {""X"": -0.0198539291, ""Y"": -0.530654, ""Z"": 0.669819832}, ""elbowLeft"": {""X"": -0.178796, ""Y"": -0.0271286778, ""Z"": 1.13511908}, ""footRight"": {""X"": 0.136090562, ""Y"": -0.496687174, ""Z"": 0.5849898}, ""handRight"": {""X"": 0.181610078, ""Y"": -0.215565383, ""Z"": 1.02493918}, ""kneeRight"": {""X"": 0.05445637, ""Y"": -0.108160734, ""Z"": 0.852794}, ""spineBase"": {""X"": 0.0941251, ""Y"": -0.278667271, ""Z"": 1.18507993}, ""thumbLeft"": {""X"": -0.111579791, ""Y"": -0.139599308, ""Z"": 0.821281254}, ""wristLeft"": {""X"": -0.0553481653, ""Y"": -0.144245878, ""Z"": 0.9992535}, ""ankleRight"": {""X"": 0.135121077, ""Y"": -0.475372463, ""Z"": 0.7195864}, ""elbowRight"": {""X"": 0.295685828, ""Y"": -0.101276763, ""Z"": 1.12448835}, ""thumbRight"": {""X"": 0.1499712, ""Y"": -0.275785267, ""Z"": 1.069}, ""wristRight"": {""X"": 0.228884518, ""Y"": -0.217406228, ""Z"": 1.03358591}, ""handTipLeft"": {""X"": -0.120370053, ""Y"": -0.0276797581, ""Z"": 0.750142455}, ""handTipRight"": {""X"": 0.140413031, ""Y"": -0.2393899, ""Z"": 1.00002062}, ""shoulderLeft"": {""X"": -0.1070724, ""Y"": 0.114442632, ""Z"": 1.14882874}, ""shoulderRight"": {""X"": 0.214590669, ""Y"": 0.09318401, ""Z"": 1.13278365}, ""spineShoulder"": {""X"": 0.06150186, ""Y"": 0.1351694, ""Z"": 1.1550225}}",4F936A16677548F7B408226F54323881
